aeropuerto,anio,mes,nacional,internacional,total
CZM,2000,1,11694,35732,47426
CZM,2000,2,13360,43765,57125
CZM,2000,3,16334,52974,69308
CZM,2000,4,14693,46396,61089
CZM,2000,5,11418,36260,47678
CZM,2000,6,11822,50857,62679
CZM,2000,7,12543,53476,66019
CZM,2000,8,11410,39314,50724
CZM,2000,9,8134,22722,30856
CZM,2000,10,8315,21200,29515
CZM,2000,11,10976,25747,36723
CZM,2000,12,12728,28467,41195
CZM,2001,1,10992,40515,51507
CZM,2001,2,10924,44294,55218
CZM,2001,3,12943,57814,70757
CZM,2001,4,12143,42477,54620
CZM,2001,5,9633,34521,44154
CZM,2001,6,9115,52117,61232
CZM,2001,7,11570,56154,67724
CZM,2001,8,10737,43389,54126
CZM,2001,9,5655,16386,22041
CZM,2001,10,5798,18292,24090
CZM,2001,11,8159,19714,27873
CZM,2001,12,8808,23016,31824
CZM,2002,1,7295,26760,34055
CZM,2002,2,6801,33296,40097
CZM,2002,3,9472,44022,53494
CZM,2002,4,8429,28212,36641
CZM,2002,5,7779,27204,34983
CZM,2002,6,7549,43251,50800
CZM,2002,7,10723,45112,55835
CZM,2002,8,10881,35740,46621
CZM,2002,9,5802,11601,17403
CZM,2002,10,5515,13506,19021
CZM,2002,11,7188,18365,25553
CZM,2002,12,8247,23136,31383
CZM,2003,1,7050,29517,36567
CZM,2003,2,5567,37775,43342
CZM,2003,3,6360,47864,54224
CZM,2003,4,7307,28037,35344
CZM,2003,5,7256,24562,31818
CZM,2003,6,7798,39556,47354
CZM,2003,7,14545,44647,59192
CZM,2003,8,12912,36963,49875
CZM,2003,9,4276,13319,17595
CZM,2003,10,4036,16360,20396
CZM,2003,11,6084,21116,27200
CZM,2003,12,8323,24601,32924
CZM,2004,1,6378,38508,44886
CZM,2004,2,6408,49319,55727
CZM,2004,3,6346,54958,61304
CZM,2004,4,7829,44904,52733
CZM,2004,5,7194,38371,45565
CZM,2004,6,6885,51204,58089
CZM,2004,7,11968,61489,73457
CZM,2004,8,10439,44856,55295
CZM,2004,9,5368,18436,23804
CZM,2004,10,6448,23157,29605
CZM,2004,11,8617,28188,36805
CZM,2004,12,10903,36271,47174
CZM,2005,1,8745,53474,62219
CZM,2005,2,7084,53750,60834
CZM,2005,3,10199,65823,76022
CZM,2005,4,7476,52009,59485
CZM,2005,5,6251,35949,42200
CZM,2005,6,5879,55706,61585
CZM,2005,7,5855,43472,49327
CZM,2005,8,6132,25481,31613
CZM,2005,9,4906,9533,14439
CZM,2005,10,4187,11282,15469
CZM,2005,11,3011,1404,4415
CZM,2005,12,3744,5264,9008
CZM,2009,1,4975,35643,40618
CZM,2009,2,5651,42802,48453
CZM,2009,3,6427,53346,59773
CZM,2009,4,5703,41044,46747
CZM,2009,5,1424,19739,21163
CZM,2009,6,1836,34109,35945
CZM,2009,7,7312,41759,49071
CZM,2009,8,6184,32505,38689
CZM,2009,9,2654,9641,12295
CZM,2009,10,2636,18176,20812
CZM,2009,11,4092,21317,25409
CZM,2009,12,4502,32202,36704
CZM,2010,1,3802,35444,39246
CZM,2010,2,3332,45475,48807
CZM,2010,3,3956,55437,59393
CZM,2010,4,4097,40414,44511
CZM,2010,5,2944,30922,33866
CZM,2010,6,2249,37698,39947
CZM,2010,7,2620,43560,46180
CZM,2010,8,2950,27270,30220
CZM,2010,9,2891,8860,11751
CZM,2010,10,2372,16126,18498
CZM,2010,11,3582,23071,26653
CZM,2010,12,4093,35667,39760
CZM,2011,1,3134,40950,44084
CZM,2011,2,3437,45582,49019
CZM,2011,3,3876,57104,60980
CZM,2011,4,3402,42342,45744
CZM,2011,5,2992,27325,30317
CZM,2011,6,2948,33072,36020
CZM,2011,7,8475,35449,43924
CZM,2011,8,7211,21346,28557
CZM,2011,9,5672,7283,12955
CZM,2011,10,5006,12570,17576
CZM,2011,11,6640,20440,27080
CZM,2011,12,10678,34758,45436
CZM,2012,1,7483,35676,43159
CZM,2012,2,5529,42394,47923
CZM,2012,3,7246,58108,65354
CZM,2012,4,7795,37601,45396
CZM,2012,5,7119,25679,32798
CZM,2012,6,6597,36990,43587
CZM,2012,7,10944,36565,47509
CZM,2012,8,9692,20938,30630
CZM,2012,9,6541,9175,15716
CZM,2012,10,5817,11990,17807
CZM,2012,11,7276,20675,27951
CZM,2012,12,9697,29742,39439
CZM,2013,1,8388,32288,40676
CZM,2013,2,5262,38830,44092
CZM,2013,3,7097,59487,66584
CZM,2013,4,6659,34851,41510
CZM,2013,5,6432,26392,32824
CZM,2013,6,6603,36399,43002
CZM,2013,7,8643,36617,45260
CZM,2013,8,7553,20689,28242
CZM,2013,9,6309,8187,14496
CZM,2013,10,5665,11861,17526
CZM,2013,11,5927,24646,30573
CZM,2013,12,8242,36844,45086
CZM,2014,1,5924,42791,48715
CZM,2014,2,4173,45201,49374
CZM,2014,3,5266,64453,69719
CZM,2014,4,7437,39982,47419
CZM,2014,5,7091,31870,38961
CZM,2014,6,6174,41742,47916
CZM,2014,7,8429,44143,52572
CZM,2014,8,7657,30841,38498
CZM,2014,9,7002,10934,17936
CZM,2014,10,7141,15301,22442
CZM,2014,11,7883,28398,36281
CZM,2014,12,10952,33743,44695
CZM,2015,1,8081,46190,54271
CZM,2015,2,5685,48504,54189
CZM,2015,3,7552,59872,67424
CZM,2015,4,8680,44882,53562
CZM,2015,5,8693,33067,41760
CZM,2015,6,7368,43802,51170
CZM,2015,7,10185,48546,58731
CZM,2015,8,8925,30893,39818
CZM,2015,9,8464,11137,19601
CZM,2015,10,10801,17205,28006
CZM,2015,11,12047,25759,37806
CZM,2015,12,13616,33822,47438
CZM,2016,1,11416,41958,53374
CZM,2016,2,7804,45998,53802
CZM,2016,3,13377,56766,70143
CZM,2016,4,10031,35964,45995
CZM,2016,5,10652,26995,37647
CZM,2016,6,10029,34028,44057
CZM,2016,7,15289,40941,56230
CZM,2016,8,14319,27420,41739
CZM,2016,9,11725,11017,22742
CZM,2016,10,10387,16399,26786
CZM,2016,11,12802,24468,37270
CZM,2016,12,13135,35172,48307
CZM,2017,1,10938,41386,52324
CZM,2017,2,7887,44848,52735
CZM,2017,3,9107,56169,65276
CZM,2017,4,11646,37588,49234
CZM,2017,5,7688,29579,37267
CZM,2017,6,8042,38468,46510
CZM,2017,7,17706,43212,60918
